price_t0,price_t1,price_t2,price_t3,price_t4,price_t5,price_t6,price_t7,price_t8,price_t9,crossings_05,price_early,price_mid,price_late,duration_minutes,volume,coin,label
0.5,0.505,0.505,0.505,0.505,0.505,0.505,0.535,0.535,0.545,0,0.505,0.505,0.535,60,32292.325120999987,0,0
0.505,0.5,0.5,0.495,0.495,0.495,0.495,0.495,0.515,0.535,2,0.5,0.495,0.525,60,35129.624053,0,0
0.505,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.505,2,0.495,0.495,0.495,60,34647.22466999999,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0,0.505,0.505,0.505,60,32529.27055200002,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.515,0.515,0.515,0.515,0,0.505,0.505,0.515,60,44052.93048799997,0,1
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.5,0.505,0.525,3,0.495,0.495,0.505,60,28747.631661000007,0,1
0.5,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.515,0.525,0,0.505,0.505,0.525,60,31541.255542000003,0,1
0.5,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0,0.505,0.505,0.52,60,89760.15638599987,0,0
0.505,0.505,0.505,0.505,0.505,0.51,0.505,0.515,0.51,0.515,2,0.51,0.505,0.51,60,61920.241590000114,0,0
0.505,0.505,0.5,0.5,0.5,0.5,0.5,0.515,0.535,0.545,0,0.505,0.5,0.535,60,38264.88765000002,0,1
0.505,0.475,0.475,0.475,0.475,0.475,0.48,0.485,0.495,0.485,5,0.475,0.475,0.5,60,25299.820230999998,0,0
0.5,0.5,0.495,0.5,0.5,0.495,0.495,0.495,0.495,0.465,11,0.495,0.5,0.48,60,22044.670660000036,0,0
0.505,0.505,0.505,0.505,0.505,0.5,0.505,0.495,0.495,0.465,3,0.505,0.505,0.475,60,37508.56643899995,0,1
0.5,0.505,0.505,0.505,0.505,0.5,0.505,0.505,0.505,0.51,0,0.505,0.505,0.505,60,34184.00770299999,0,1
0.5,0.49,0.49,0.49,0.495,0.495,0.495,0.505,0.505,0.525,2,0.495,0.495,0.505,60,57300.809477000046,0,1
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.455,0,0.495,0.495,0.495,60,79558.68616000004,0,0
0.495,0.495,0.495,0.495,0.485,0.47,0.475,0.475,0.495,0.48,0,0.495,0.48,0.495,60,55919.325799999955,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.485,0.465,0.465,0.45,1,0.505,0.505,0.48,60,32681.34801200002,0,1
0.5,0.495,0.495,0.495,0.495,0.495,0.49,0.49,0.455,0.415,1,0.495,0.495,0.435,60,41625.267835000006,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.515,0.495,1,0.505,0.505,0.495,60,35743.959689,0,1
0.5,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.495,1,0.505,0.505,0.505,60,38367.423491999965,0,1
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.525,0.525,0.525,0,0.505,0.505,0.52,60,44729.56386899993,0,1
0.505,0.505,0.505,0.505,0.505,0.505,0.515,0.515,0.49,0.465,1,0.505,0.52,0.475,60,66377.53830399983,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5,0,0.505,0.505,0.505,60,41195.09463599999,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5,0.535,0,0.505,0.505,0.505,60,38879.106568,0,1
0.505,0.505,0.505,0.505,0.505,0.505,0.49,0.49,0.505,0.505,4,0.505,0.505,0.505,60,269289.539335,0,1
0.505,0.505,0.505,0.515,0.515,0.525,0.525,0.525,0.525,0.525,0,0.505,0.515,0.525,60,73138.22454800003,0,1
0.5,0.495,0.495,0.495,0.495,0.495,0.495,0.505,0.505,0.505,2,0.495,0.495,0.505,60,61550.57123800003,0,0
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.505,0.505,0.485,2,0.495,0.495,0.505,60,88348.70852899997,0,0
0.495,0.495,0.5,0.5,0.495,0.495,0.505,0.505,0.505,0.515,3,0.495,0.495,0.505,60,64270.78670500007,0,1
0.485,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.525,3,0.495,0.495,0.505,60,38382.31038599994,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.51,0.505,0.51,2,0.505,0.505,0.5,60,50047.316184999996,0,1
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0,0.505,0.505,0.505,60,32155.448384000032,0,1
0.49,0.495,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.465,0,0.495,0.49,0.49,60,35906.28469599997,0,1
0.505,0.52,0.52,0.52,0.52,0.52,0.52,0.505,0.505,0.505,0,0.52,0.52,0.505,60,32085.158959999986,0,1
0.505,0.505,0.505,0.515,0.535,0.535,0.535,0.51,0.525,0.55,0,0.505,0.535,0.545,60,54210.04226199996,0,0
0.5,0.505,0.505,0.505,0.545,0.545,0.545,0.54,0.535,0.54,0,0.5,0.545,0.545,60,43184.242265000015,0,0
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0,0.495,0.495,0.495,60,24242.970139000023,0,0
0.495,0.5,0.495,0.495,0.49,0.49,0.485,0.485,0.485,0.475,4,0.5,0.49,0.485,60,35372.35575600001,0,0
0.505,0.505,0.505,0.5,0.5,0.5,0.5,0.505,0.505,0.495,1,0.505,0.5,0.5,60,19091.993956999988,0,1
0.495,0.5,0.5,0.505,0.48,0.475,0.475,0.475,0.465,0.47,2,0.5,0.475,0.475,60,33816.989116,0,0
0.505,0.505,0.505,0.525,0.525,0.525,0.525,0.525,0.505,0.495,1,0.505,0.525,0.505,60,19321.453919000003,0,1
0.505,0.505,0.505,0.505,0.505,0.5,0.5,0.51,0.505,0.525,4,0.505,0.5,0.505,60,47051.82251999999,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.515,0.49,0.485,0.51,4,0.505,0.505,0.505,60,43420.13932800001,0,1
0.5,0.535,0.545,0.545,0.545,0.545,0.545,0.52,0.535,0.535,0,0.535,0.545,0.515,60,44872.28279500002,0,1
0.505,0.505,0.505,0.505,0.52,0.535,0.515,0.52,0.515,0.525,6,0.505,0.535,0.495,60,58711.17477500004,0,0
0.505,0.525,0.515,0.525,0.525,0.525,0.525,0.515,0.525,0.535,0,0.525,0.525,0.53,60,54808.430538000015,0,0
0.505,0.505,0.505,0.515,0.51,0.525,0.53,0.53,0.565,0.495,1,0.505,0.515,0.565,60,74343.72626699999,0,0
0.505,0.505,0.505,0.505,0.51,0.51,0.52,0.515,0.535,0.53,0,0.505,0.51,0.53,60,35103.49543,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.525,0,0.505,0.505,0.505,60,57965.52942500002,0,0
0.495,0.515,0.505,0.505,0.505,0.53,0.525,0.53,0.505,0.48,2,0.515,0.53,0.485,60,35698.04794400004,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.495,1,0.505,0.505,0.535,60,42777.189063,0,1
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.505,0.505,0.505,1,0.495,0.495,0.505,60,34160.102420999996,0,1
0.5,0.5,0.5,0.5,0.495,0.5,0.5,0.505,0.525,0.495,3,0.5,0.5,0.515,60,42991.22415099995,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0,0.505,0.505,0.505,60,69142.24053900006,0,0
0.5,0.51,0.505,0.505,0.505,0.505,0.505,0.505,0.495,0.495,1,0.5,0.505,0.495,60,36971.256808000006,0,0
0.505,0.52,0.505,0.505,0.52,0.535,0.535,0.515,0.52,0.52,0,0.515,0.52,0.525,60,51824.22779600005,0,0
0.5,0.505,0.505,0.495,0.495,0.495,0.495,0.495,0.495,0.495,1,0.505,0.485,0.495,60,48222.20337000001,0,0
0.5,0.515,0.515,0.515,0.515,0.51,0.505,0.49,0.48,0.525,2,0.525,0.515,0.475,60,47336.84899700001,0,1
0.505,0.505,0.505,0.505,0.52,0.535,0.535,0.535,0.535,0.545,0,0.505,0.535,0.535,60,63053.742844999884,0,0
0.5,0.505,0.495,0.505,0.54,0.535,0.535,0.505,0.515,0.54,2,0.505,0.535,0.515,60,33634.815364999995,0,1
0.505,0.505,0.505,0.545,0.545,0.545,0.52,0.535,0.535,0.53,0,0.505,0.545,0.535,60,33696.98125400001,0,0
0.505,0.505,0.505,0.525,0.525,0.52,0.52,0.535,0.535,0.545,0,0.505,0.515,0.535,60,52865.89661399995,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.515,0,0.505,0.505,0.515,60,34146.52139099999,0,0
0.505,0.475,0.485,0.49,0.49,0.49,0.49,0.485,0.475,0.475,3,0.505,0.49,0.47,60,65879.10825599993,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.495,0.49,0.475,0.445,3,0.505,0.505,0.515,60,71371.60031800001,0,0
0.495,0.495,0.5,0.5,0.5,0.5,0.5,0.495,0.485,0.455,8,0.495,0.5,0.475,60,72725.51346500008,0,1
0.495,0.495,0.52,0.52,0.52,0.52,0.505,0.5,0.495,0.505,3,0.495,0.51,0.485,60,89270.92435499988,0,0
0.5,0.515,0.515,0.515,0.525,0.535,0.535,0.555,0.555,0.525,2,0.505,0.535,0.55,60,56829.84704600003,0,0
0.505,0.505,0.505,0.505,0.505,0.495,0.495,0.495,0.515,0.495,5,0.505,0.505,0.5,60,39847.16863899998,0,0
0.5,0.5,0.505,0.495,0.495,0.495,0.49,0.49,0.485,0.475,3,0.495,0.495,0.48,60,41358.18153099998,0,0
0.505,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.54,0.545,0,0.525,0.525,0.525,60,39951.17769699999,0,1
0.5,0.495,0.495,0.495,0.515,0.495,0.495,0.495,0.495,0.475,3,0.495,0.5,0.47,60,38841.53081499999,0,1
0.505,0.525,0.51,0.52,0.52,0.515,0.535,0.505,0.505,0.535,0,0.505,0.505,0.515,60,50439.372988,0,1
0.5,0.525,0.525,0.535,0.515,0.495,0.495,0.535,0.535,0.5,2,0.505,0.495,0.505,60,70969.81358900001,0,0
0.5,0.505,0.505,0.505,0.505,0.51,0.525,0.52,0.535,0.54,0,0.505,0.505,0.535,60,82086.44568399999,0,0
0.495,0.495,0.5,0.5,0.505,0.51,0.515,0.52,0.52,0.545,1,0.495,0.505,0.535,60,44535.96788500009,0,0
0.505,0.535,0.52,0.5,0.485,0.5,0.5,0.475,0.485,0.465,5,0.515,0.5,0.48,60,35057.55854899997,0,1
0.49,0.485,0.485,0.49,0.49,0.505,0.505,0.505,0.515,0.51,7,0.485,0.49,0.515,60,43646.48475899999,0,1
0.505,0.505,0.505,0.495,0.495,0.495,0.495,0.495,0.495,0.475,1,0.505,0.495,0.495,60,22487.263951999976,0,0
0.5,0.495,0.495,0.495,0.495,0.48,0.48,0.48,0.475,0.465,1,0.495,0.495,0.475,60,34461.46845200001,0,0
0.505,0.505,0.505,0.505,0.505,0.5,0.5,0.51,0.505,0.505,6,0.505,0.495,0.505,60,24280.72913999997,0,0
0.51,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.485,0.485,1,0.495,0.495,0.485,60,37763.01006700002,0,1
0.505,0.505,0.505,0.505,0.505,0.495,0.495,0.495,0.495,0.495,3,0.505,0.495,0.495,60,23458.763525000006,0,1
0.505,0.505,0.49,0.49,0.49,0.49,0.49,0.515,0.525,0.535,4,0.505,0.49,0.52,60,46911.11118200004,0,1
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.5,0.495,0.49,2,0.495,0.495,0.485,60,172517.0408,0,0
0.505,0.515,0.52,0.52,0.515,0.535,0.54,0.565,0.565,0.565,0,0.515,0.525,0.565,60,50061.724196999996,0,1
